Question,Answer
German language mai 'the door' or 'the window' ko kis gender me classify kiya jata hai?,'The door' ko German mai 'die Tür' kaha jata hai jo feminine gender hoti hai or 'the window' ko 'das Fenster' kaha jata hai jo neuter gender hoti hai.
"Paragraph ke mutabiq, English aur German mein asal farq kya hai?","Paragraph ke mutabiq, English aur German mein asal farq yeh hai ke German mein alfaaz, jab wo dosre alfaaz se taluq rakhte hain, to khas akhirat (endings) lete hain."
German mein naye ism (noun) ko kaise seekhna chahiye?,"Paragraph ke mutabiq, jab aap German mein ek naya ism (noun) seekhte hain, to aapko hamesha uske jins (gender) ke sath seekhna chahiye."
German mein ism ke sath uska maqala (article) seekhna kyun faidemand hai?,German mein ism ke sath uska maqala (article) seekhna is liye faidemand hai kyunki ye tawil mudat mein faida mand sabit hota hai.
German alfaaz mein khas akhirat (endings) ka kya kirdar hai?,"Paragraph ke mutabiq, German mein, khas akhirat (endings) ka istemal hota hai jab wo dosre alfaaz se taluq rakhte hain."
Feal kya hota hai?,Feal wo lafz hain jo aik jumlay ki 'karwai' ko bayan karte hain.
Feal ka istemal kis liye hota hai?,Feal aik jumlay ki 'karwai' ko bayan karne ke liye istemal hota hai.
Feal ka kya maqlab hai?,Feal aik jumlay ki 'karwai' ko bayan karne wale lafz hote hain.
German feal 'to go' kis tarah istemal hota hai?,"German feal 'to go' jab 'I', 'he' aur 'they' ke sath istemal hota hai to iskay akhir mein tabdeel ho jata hai. Misaal ke taur par, Ich gehe (Mai chalta hoon), Er geht (Wo chalta hain), Sie gehen (Ye chaltay hain)."
Kya hote hain articles aur possessive adjectives?,"Articles aur possessive adjectives wo alfaz hain jo aik sangya se jure hote hain, jaise ki 'a', 'the', 'my' ya 'his'."
German mein ghair muqarara muqam se jure sangya ka kya matlab hota hai?,"German mein jab aik ghair muqarara muqam ('a') sangya se jura hota hai, to yeh jumlay ke mozoo (ein Mann) ya jumlay ki mafoom (einen Mann) ke sath tabdeel ho jata hai."
Ist das ein Mann ka English translation kya hoga?,Ist das ein Mann? ka English translation hoga - Is that a man?
Da drüben sehe ich einen Mann ka English translation kya hoga?,Da drüben sehe ich einen Mann ka English translation hoga - Over there I can see a man.
Adjectives kya hotay hain?,"Adjectives wo alfaz hotay hain jo sangya ki khasiyat ko bayan kartay hain. Jaise 'new' computer, an 'intelligent' woman, a 'beautiful' house."
German mein adjectives ka kya pattern hota hai jab wo aik sangya ke samne hotay hain?,German mein adjectives ka pattern tabdeel ho jata hai jab wo aik sangya ke samnay hotay hain.
German mein muzakar sangya se adjectives ka kya relation hota hai?,German mein jab adjectives aik muzakar sangya se jure hotay hain to unka akhir tabdeel ho jata hai. Jaise 'ein neuer Computer'.
German mein maada sangya se adjectives ka kya connection hota hai?,"German mein jab adjectives aik maada sangya se jure hotay hain tab adjectives ka ending tabdeel hota hai. Jaise, 'eine intelligente Frau'."
German language ki kaunsi khasiyat ke bare mein bataya gaya hai?,German language ki khasiyat ye hai ke hum noun ka kirdar uske akhir aur article ke form se jaan sakte hain.
Noun ka kirdar kaise jaan sakte hain hum German language mein?,German language mein noun ka kirdar uske akhir aur article ke form se jaan sakte hain.
"Kutta aadmi ko kaat raha hai, is sentence mein noun ka kya role hai?","Is sentence mein 'Kutta' noun ka role kar raha hai aur wo kisi kaam mein hai, yani 'karta'."
Mafoom ka matlab kya hota hai?,Mafoom ka matlab hota hai kaam ka 'receiver'.
Finite verb German zuban mein kis position per hoti hai?,"German zuban mein, Finite verb hamesha doosri jagha per aati hai."
Finite verb fiqra ke shuru mein kab ati hai?,Finite verb fiqra ke shuru mein orders aur bohat se sawalon mein aati hai.
Tenses German zuban mein kis position per hote hain?,Tenses German zuban mein hamesha akhir mein ate hain.
"Agar do verb forms hoti hain, toh aik un mein se kahan jati hai?","Agar do verb forms hoti hain, toh aik un mein se akhir mein jati hai."
Konsa tense English mein mazi se jab present se connection ho istemal hota hai?,English mein mazi se jab present se connection ho to present perfect tense istemal hota hai.
German mein jumlo mein finite verb form kaisa hota hai?,German mein dono jumlo mein finite verb form same hota hai.
German mein 'Main kaam kar raha hoon.' ko kaise kahte hain?,German mein 'Main kaam kar raha hoon.' ko 'Ich arbeite' kahte hain.
'Main Harrods mein kaam karta hoon.' ko German mein kaise kahte hain?,'Main Harrods mein kaam karta hoon.' ko German mein 'Ich arbeite bei Harrods' kahte hain.
German zubaan ke kis aspect ko zyada zor diya gaya hai?,German zubaan ke systematic nizaam aur uske specific patterns par zyada zor diya gaya hai.
German zubaan seekhnay mein shuru ke haftoon ki kya samsya aati hai?,Shuru ke kuch haftoon mein German seekhna thoda tedha lagta hai.
German zubaan mein kis cheez ki pattern's bar bar roo baroo hoti hain?,German zubaan mein specific patterns bar bar roo baroo hoti hain.
Learning curve ke baad kya hota hai?,Learning curve ke baad cheezein asaan hojati hain aur aap patterns ko samajh paate hain.
Dictionary kis tarah ki maloomat ita hai?,"Dictionary aapko translations ke saath saath unfamiliar words ki pronunciation aur grammatical maloomat, jaise ke verb kis case ko leta hai ya noun ka plural kya hota hai, bhi deti hai."
Dictionary kis tarah se unfamiliar words ki pronunciation batati hai?,"Dictionary har word ki sahi spelling aur pronunciation batati hai, takay aap unfamiliar words ko sahi dhang se bol sakein."
Dictionary main noun aur verb se judi kis tarah ki maloomat hoti hai?,Dictionary aapko ye batati hai ke kis tarah verb kisi particular case ko leta hai ya phir kisi noun ka plural form kya hai.
Dictionary ka istemal karne ke tarike kya hai?,"Dictionary ka istemal karne ka tariqa ye hai ke aapko uss mein se relevant keywords, jaise ki verb, noun ya phir plural etc, ki madad se apna sentence bana sakte hain."
Capital letters kab istemal karte hain German mein?,"German mein, capital letters sidhe nouns par istemaal kiye jaate hain. Iska matlab hai ki kisi bhi proper noun ya common noun ka pehla letter hamesha capital hote hain."
Letter ß ka istemal kaise hota hai?,"German mein, letter ß tab istemal kiya jata hai jab ek vocal sound do baar sunai de aur us ke baad 's' aata hai. Isko 'sharp S' bhi kaha jata hai."
Umlauts ki kya importance hai?,"Umlauts ('ä', 'ö', 'ü') German ki pronunciation mein ek bahut zaroori hissa hain. Ye letters different pronunciation represent karte hain."
German aur English mein gender istemal hone mein kya farq hai?,"German mein, har noun ka ek grammatical gender hota hai: muzakkar, moannis, ya jama. Jab ke English mein, gender sirf living things ke liye istemal hota hai aur baki sab 'it' ke through jaati hai."
Mojooda zamane mein verb kis cheez ka bayaan karta hai?,Mojooda zamane mein verb ye bayaan karta hai ke shakhs ya koi bhi dosra muzoo kya kar raha hota hai.
Cinema jaane ke liye verb ka kya form use hota hai?,Cinema jaane ke liye 'jata hoon' verb ka form use hota hai.
Kisi ko apni chuttiyon ke bare mein sochne ke liye verb ka kya form hota hai?,Kisi ko apni chuttiyon ke bare mein sochne ke liye 'sochti hai' verb ka form hota hai.
Football khelne ke liye kis form ka uuse karte hain?,Football khelne ke liye 'khailte hain' form ka use karte hain.
Kya verb ko halat ko bayan karne ke liye bhi istemal kiya ja sakta hai?,"Haan, verb halat ko bayan karne ke liye istemal kiya ja sakta hai."
Kya sirf mohoobat ki feelings ko express karne ke liye verb istemal hota hai?,"Nahi, sirf mohabbat ki feelings ko express karne ke liye verb istemal nahi hota. Yeh kisi bhi feeling ya halat ko bayan karne ke liye istemal kiya ja sakta hai."
Verb ki kya misalein hain?,"Verb ki misalein hain: 'Wo gussa hai', 'Wo wahan rehti hai', 'Wo mujhse mohabbat karte hain.'"
Kya 'wo gussa hai' ek verb ki misaal hai?,"Haan, 'wo gussa hai' ek verb ki misaal hai."
Kaise verbs ko English mein rakha jata hai?,"English mein, verbs ko sirf mojooda zamane mein teesray shakhs ki wahid form ke siwa kisi bhi form mein nahin rakha jata."
Kaise verbs ko English mein third person singular form mein present kiya jata hai?,Third person singular form ke liye 'goes' verb ka use kiya jata hai.
'You' ke liye English mein konsa verb form use kiya jata hai?,'You' ke liye 'go' verb form use kiya jata hai.
'They' ke liye English mein konsa verb form use kiya jata hai?,'They' ke liye 'go' verb form use kiya jata hai.
German mein verb formation kaise hota hai?,German mein verb formation ke liye stem lete hain aur uske baad zaroori ending shamil karte hain.
Verb formation mein kya first step hota hai?,Verb formation mein pehla step hota hai verb ki stem lena.
Verb ki 'stem' kya hota hai?,"Verb ki 'stem' wo form hota hai, jo infinitive ke bina '-en' ya '-n' hota hai."
'Stem' kaise banaya jata hai German mein?,Infinitive form se '-en' ya '-n' hata kar 'stem' banaya jata hai German mein.
Ek verb jiska akhir maloom hota hai usay kya kehte hain?,Ek verb jiska akhir maloom hota hai usay finite verb kehte hain.
Infinitive ke muqablay mein finite verb kya hota hai?,"Ek finite verb wo hota hai jis ka ek khas akhir hota hai, infinitive ke muqablay mein, jo ke koi ma'ni khiz akhir nahi rakhta."
Finite aur Infinite verbs ka concept kitna ahem hai?,Finite aur Infinite verbs ka concept ek ahem grammatik istilah hai.
'Finite verb' ka istilah aksar kahan milta hai?,'Finite verb' ka istilah aksar units mein milta hai.
Verbs ke tamam endings ke baray mein jan'na kyu zaroori hai?,Verbs ke tamam endings ke baray mein jan'na isliye zaroori hai kyu ki ye verbs ke sahi istemal mein madad karta hai.
Shuruat karne wale zyadatar kis shakhs ki adaad ka istemal karte hain?,Shuruat karne wale zyadatar pehle aur doosre shakhs ki adaad ka istemal karte hain.
Istemal kiye jane wale adaad mein kaun kon se shamil hain?,"Istemal kiye jane wale adad mein 'ich', 'du' ya 'Sie' shamil hain."
Kya yeh detail mein di gayi hai?,"Ji haan, yeh detail mein di gayi hai."
Kis Istemal ke liye 'Ich' shabd ka istemal karte hain?,"'Ich' shabd ka istemal pehle shakhs ki singular ke liye kiya jata hai. Jaise ki, 'Ich wohne in Frankfurt.' ka matlab hota hai 'Main Frankfurt mein rehta hoon.'"
German mein singular 'you' ke liye kin do forms ka istemal kiya ja sakta hai?,German mein singular 'you' ke liye informal 'du' aur formal 'Sie' shabd ka istemal kiya ja sakta hai.
"Er, sie, es - in german shabd ka istemal kis liye kiya jata hai?","'Er' german mein 'he' ke liye, 'sie' 'she' ke liye aur 'es' 'it' ke liye istemal kiya jaata hai."
German mein formal aur informal kis tarah identify kiya jaata hai?,"German mein, agar aap ek shakhs se baat kar rahe hain, to informal adress 'du' hota hai aur formal adress 'Sie' hota hai (hamesha aik shuruati capital letter ke sath)."
What is the plural form used for 'we' as per the given text?,'-en' is used as the plural form for 'we' in the context of the given text.
In which city do 'we' reside according to the example provided in the text?,"As per the example provided in the text, 'we' reside in Cologne (Köln)."
What are 'we' learning as per the example presented in the text?,"According to the example in the text, 'we' are learning German (Deutsch)."
What language is the given text and examples primarily in and what language is being learnt?,"The primary language of the text and examples are in Urdu, while the language being learnt is German."
"Can 'ihr' and 'Sie' both be used for informal and formal ways of addressing one person, respectively?","Yes, 'ihr' is used for informal way of addressing one person and 'Sie' is used for formal way of addressing one person."
What is the formal and informal sentence for 'Where do you live?' in German?,The informal sentence is 'Wo wohnt ihr?' and the formal sentence is 'Wo wohnen Sie?' for 'Where do you live?' in German.
How does one say 'What are you doing here?' formally and informally in German?,The informal sentence is 'Was macht ihr hier?' and the formal sentence is 'Was machen Sie hier?' for 'What are you doing here?' in German.
What are the examples given for formal and informal ways of asking questions in German?,The examples given for informal ways of asking questions are 'Wo wohnt ihr?' and 'Was macht ihr hier?'. The examples for formal ways is 'Wo wohnen Sie?' and 'Was machen Sie hier?' in German.
'sie' aur 'Sie' mein kya farq hai German language mein?,"'sie' word ke mukhtalif meanings hain German language mein. 'sie' chote s ke sath 'she' ya 'they' ka matlab hota hai, jabkay 'Sie' bade S ke sath formal 'you' ke liyai istemal hota hai."
'sie' chote s ke sath kis context mein use hota hai?,'sie' chote s ke sath 'she' ya 'they' ka matlab hota hai. Yani iska use gender-specific ya multiple individuals ke liye kiya ja sakta hai.
'Sie' bade S ke sath kis context mein istemal hota hai?,"'Sie' bade S ke sath formal 'you' ke liyai istemal hota hai. Yani iska use respect ke mayene mein, individual ya group ko address karne ke liye kiya jata hai."
'sie/Sie' ka istemal kis tarah se singular aur plural mein kiya jata hai?,'Sie' bade S ke sath dono singular mai bhi aur plural mai bhi use hota hai.
German zaban mein kitne mojooda (present) zamanay hain?,German mein sirf ek mojooda zamaana hai.
German mein mojooda zamaana English se kis tarah mukhtalif hai?,German ka mojooda zamaana English ke simple present aur continuous present dono ko zahir karta hai.
'Er trinkt Bier' ka English mein kya matlab hai?,'Er trinkt Bier' ka matlab English mein 'He drinks beer' ya 'He is drinking beer' hota hai.
'She is playing football' ko German mein kaise kaha jata hai?,'She is playing football' ko German mein 'Sie spielt Fußball' kaha jata hai.
Text mein zikr kiye gaye rules ko aksar kaun se verbs follow karte hain?,Zyadatar verbs German mein text mein zikr kiye gaye rules ko follow karte hain.
German verb rules mein kya exceptions hain?,German verb rules mein kuch exceptions mein mamooli spelling variations ya kuch verbs ke stem vowel mein tabdili shamil hai. 'Sein' aur 'haben' verbs bhi khaas tor par irregular hain.
Kuch German verbs mein kya irregularities ho sakti hain?,Kuch German verbs mein mamooli spelling variations ya stem vowel mein tabdili ho sakti hai.
Khaas tor par kaun se do verbs bohot irregular hain?,'Sein' aur 'haben' ('to be' aur 'to have') German mein khaas tor par irregular hain.
German verb endings ke raaz ko talaash karne se pehle aapko kya yaqeeni banane ki zaroorat hai?,Aapko yaqeeni banana chahiye ke aap ne is Unit se sari maaloomat ko mukammal tor par samjha hai.
German verb endings se mutaliq maaloomat kaun se unit mein mil sakti hai?,German verb endings se mutaliq maaloomat mojooda Unit mein mil sakti hai.
Unit se maaloomat samajhna pehle kyun zaroori hai?,German verb endings ki pechidgiyon ko kamyaab tor par talaash karne aur samajhne ke liye maaloomat ko samajhna zaroori hai.
Faraham kiye gaye paragraph ka asal markaz kya hai?,Paragraph ka asal markaz is baat par zor dene ka hai ke German verb endings ke raaz ko talaash karne se pehle unit se sari maaloomat ko samajhna zaroori hai.
"Kia aap Frankfurt se hain, Alex?","Haan, main Frankfurt se hoon."
"Alex, aap Berlin mai kab se reh rahe hain?",Main Berlin mai pechle 5 saal se reh raha hoon.
"Alex, aapko Berlin mai rehna kesa lagta hai?",Berlin acha hai. Main yahan kafi khush hoon.
"Alex, aapka Frankfurt se tabdeel hone ka experience kesa tha?","Frankfurt se Berlin aana thora mushkil tha, lekin ab main adat hogya hoon."
Kya aap German verb ka stem form kar sakte hain?,"German verb ka stem form banane ke liye, verb se 'en' ya 'n' suffix hata diya jata hai. Jaise, 'spielen' (to play) ka stem form 'spiel' hota hai."
Singular mai verb endings kya hain?,"Singular mai German verb endings typically '-e' for ich (I), '-st' for du (you), and '-t' for er/sie/es (he/she/it) hoti hain."
Plural mai endings kya hoti hain?,"Plural mai German verb endings typically '-en' for wir (we), '-t' for ihr (you all), and '-en' for sie/Sie (they/you formal) hoti hain."
German mai kitne tenses hote hain for the present?,"German language me sirf ek hi present tense hota hai, jo ki actions ko express karne ke liye use hota hai jo abhi ho rahe hai, aksar hota hai ya bhavishya me hone wale hai."
Kya aap finite verb ki tareef kar sakte hain?,"Finite verb woh verb hota hai jisay subject ke accordance me conjugate kiya jata hai. Finite verbs usually tense, mood, or aspect ko express karte hain."
German mein ziyada tar verbs konsa pattern follow kartay hain?,German mein ziyada tar verbs ek maamooli pattern follow karte hain jahan ending sirf verb ke stem par lagti hai.
Verb ke stem par ending lagne walay pattern mein kya hota hai?,Verb ke stem par ending lagne walay pattern mein spellings same rehtay hain sirf ending verbs ke stem par lagti hai.
Beqaaidah verbs ki group ke baray mein kya bataya gaya hai?,Beqaaidah verbs ki group mein verb ke stem mein tabdeeli hoti hai.
Beqaaidah verbs ki group mein kis cheez ki tabdeeli hoti hai?,Beqaaidah verbs ki group mein verb ke stem mein tabdeeli hoti hai.
English mein mojooda zamanay ko aam tor par kya cheez mutasir nahi karti?,Aam aur irregular verbs aam tor par English mein mojooda zamanay ko mutasir nahi karte
Mojooda zamanay ko mutasir karne wale kya istisna bataye gaye hain?,Mojooda zamanay ko mutasir karne wale bataye gaye istisna 'to be' aur 'to have' hain
Ye verbs kahan tafseel se bayan kiye gaye hain?,Ye verbs Unit 4 mein tafseel se bayan kiye gaye hain
Kya English mein regular aur irregular verbs mein farq hai?,"Ji haan, English mein regular aur irregular verbs mein farq hai"
Q1: Kis tarah ke German verbs ke stem -d ya -t par khatam hoti hai?,"Wo German verbs jin ka stem -d ya -t se khatam hota hai, inhain mushkil hota hai du aur er/sie/es aur ihr ke -st endings ko pronounce karne me agar -st ya -t seedha stem ke sath joda jaye."
Q2: Stem endings kaunsi hoti hai?,Stem endings -d ya -t hoti hai.
Q3: Kaunsi verbs hai jin ka stem consonant + n ya m se khatam hota hai?,Atmen aur Regnen wo verbs hain jin ka stem aik consonant + n ya m se khatam hota hai.
"Q4: Infinity, stem aur finite verb ke examples kya hai?","Arbeiten, Kosten or Reden ka example diya gaya hai. Jahan arbeiten (kaam karna) ka stem 'arbeit' hota hai aur iska finite verb 'du arbeitest' hota hai. Kosten (iqsaam) ka stem 'kost' hota hai aur finite verb 'es kostet' hota hai. Reden (baat karna) ka stem 'red' hota hai aur finite verb 'ihr redet' hota hai."
What is the main topic of the content title 3?,The main topic of the content title 3 is not specified in this content.
What does the translated and improved content refer to?,The translated and improved content refers to the text that has been converted and enhanced in Roman Urdu.
What language is the content translated into?,The content is translated into Roman Urdu.
What is the purpose of the improved content in the paragraph?,The purpose of the improved content in the paragraph is to deliver better quality and understanding of the content in Roman Urdu.
What does the second content title refer to?,"The second content title refers to the topic discussed in the corresponding paragraph, which is about the translated and improved content in Roman Urdu."
What improvements were made in the translated content in Roman Urdu?,"Without context, it's challenging to detail the exact improvements made in the translated content. However, the improvements could involve correcting grammatical errors, enhancing the clarity of ideas, or making the text more engaging."
What is the main idea expressed in the paragraph?,The main idea expressed in the paragraph is the existence of translated and improved content in Roman Urdu.
Can you explain some specifics mentioned in the paragraph?,"As the provided paragraph does not specify any details, it's difficult to understand the specifics mentioned in it."
Content title 1 kiya hay?,Content title 1 ek heading hai jis se related paragraph milta hai.
Content title 1 ka content Kis language mein translate kiya gya hai?,Content title 1 ka content Roman Urdu language main translate kiya gaya hai.
Content title 1 content mein kis cheez ki improvement ki gai hai?,"Content title 1 content ki improvement, Roman Urdu translation ke dauran ki gayi hai."
Content title 1 se related content kaha paya jasakta hai?,Content title 1 se related content paragraph section mein paya ja sakta hai.
"German zubaan mein kaunse verbs ka 'present tense' mein stem mein a, e, or i vowel ka istemal hota hai?","German zubaan mein kuch verbs ka 'present tense' mein 'a', 'e', or 'i' vowel ka istemal hota hai"
Ye tabdeeli kin forms par apply hoti hai?,Ye tabdeeli sirf 'du' aur 'er/sie/es' forms par apply hoti hai
In verbs ki tabdeeli kis ending par asar nahi karti?,In verbs ki tabdeeli kisi aur ending par asar nahi karti hai
In verbs ka kuch examples bataein?,"Mamoolan istemal hone wale in verbs ke examples specifically paragraph mein mentioned nahi hain, lekin vo tabdeel hone wale kisi bhi german verb ho sakte hain jo 'a', 'e', or 'i' vowel ke saath aatay hain."
Kya aapko pasand hai Harry Potter padhna?,"Haan, mujhe Harry Potter padhna pasand hai (oder) Nein, mujhe Harry Potter padhna pasand nahi hai"
Kya Woh football match dekh raha hai?,"Haan, woh football match dekh raha hai (oder) Nein, woh football match nahi dekh raha hai"
Kya Woh pizza khaana pasand karti hai?,"Haan, usse pizza khaana pasand hai (oder) Nein, usse pizza khaana pasand nahi hai"
Kya aap German bolte hain?,"Haan, main German bolta hoon (oder) Nein, main German nahi bolta hoon"
Kya Woh gyara baje tak soti hai?,"Haan, woh gyara baje tak soti hai (oder) Nein, woh gyara baje tak nahi soti hai"
Kon se fe'al par ye tabdili apply hoti hai?,Ye tabdili sirf mehdood tadaad fe'al par apply hoti hai.
Kya patterns ki madad se predict kar sakte hain?,"Ji haan, kuch certain patterns ki madad se aap predict kar sakte hain."
Patterns ka dhyaan rakhna kyu zaruri hai?,In patterns ka dhyaan rakhna isliye zaruri hai kyunki ye aapko samajhne mein madad karte hain.
Aap kya patterns ki madad se predict kar sakte hain?,"Aap 'a → ä', 'e → i', 'e → ie' jaise patterns ki madad se predict kar sakte hain."
Kya 'schlafen' verb jo di gayi hai infinative se finite verb mein kis tarah badalti hai?,'Schlafen' verb 'er schläft' mein badal jaati hai.
'Essen' verb ka kiya finite form hai?,'Essen' verb ka finite form 'sie isst' hai.
'Sprechen' aur 'lesen' verbs ke finite forms kya hain?,"'Sprechen' verb ka finite form 'du sprichst' hai, aur 'lesen' ka finite form 'du liest' hai."
"'Fahren', 'halten', 'tragen' aur 'waschen' verbs ke finite forms kya hain?","'Fahren' ka finite form 'du fährst, er/sie/es fährt' hai, 'halten' ka finite form 'du hältst, er/sie/es hält' hai, 'tragen' ka finite form 'du trägst, er/sie/es trägt' hai, aur 'waschen' ka finite form 'du wäschst, er/sie/es wäscht' hai."
German mein kaun se verbs 'e' vowel ko 'i' ya 'ie' mein badal dete hain?,German mein kuch verbs jaise 'sprechen' aur 'essen' apne 'e' vowel ko 'i' ya 'ie' mein badal dete hain.
Vowel badalne wale kisi verb ka jumla kis tarah banega?,"Ek jumle ki misaal hai 'Er hilft Frau Maier', jiska matlab hai 'Woh Mrs. Maier ki madad karta hai' aur 'Triffst du heute Angelika?', jiska matlab hai 'Kya aaj tum Angelika se mil rahe ho?'."
'Er hilft Frau Maier' ka English mein kya matlab hai?,'Er hilft Frau Maier' ka English mein tarjuma hai 'He helps Mrs. Maier'.
'Er wirft den Ball zu Beckham' ka kya matlab hai?,'Er wirft den Ball zu Beckham' ka matlab hai 'Woh ball Beckham ko phenkta hai'.
'Nehmen' verb aur uske variations kya hain?,"'Nehmen' verb 'e' se 'i' mein badal jata hai, lekin iske kai spelling variations hain, jaise 'nehme', 'nehmen', 'nimmst', 'nehmt', 'nimmt'."
'Nehmen' verb 'ich' aur 'wir' ke sath kaise badalta hai?,'Ich' ke sath 'nehmen' 'nehme' ban jata hai aur 'wir' ke sath yeh 'nehmen' rehta hai.
'Du' aur 'er/sie/es' ke sath 'nehmen' ka kya roop hota hai?,"'Du' ke sath, 'nehmen' 'nimmst' mein badal jata hai aur 'er/sie/es' ke sath yeh 'nimmt' ban jata hai."
"'Ihr', 'Sie' aur 'sie' ke sath 'nehmen' ka kya roop hota hai?","'Ihr' ke sath, 'nehmen' 'nehmt' mein badal jata hai, 'Sie' aur 'sie' ke sath yeh 'nehmen' rehta hai."
'Nimmst du Kaffee oder Tee?' se kya samajh aata hai?,'Nimmst du Kaffee oder Tee?' se samajh aata hai ki humse poochha ja raha hai kya hum coffee ya tea lenge.
'Er nimmt ein heißes Bad' se kya samajh aata hai?,'Er nimmt ein heißes Bad' se samajh aata hai ki woh vyakti garam pani ki bath le raha hai.
Ye misalen kis cheez ke liye di gayi hain?,Ye misalen German zaban ko samajhne ke liye di gayi hain
In misalon mein se ek misal apne taraf se dijiye?,Mein ein Buch lese - Main ek kitab padh raha hoon.
Kuch verbs mein 'e' ki awaz ko lamba pronounciate karte hue kya hota hai?,"Kuch verbs mein 'e' ki awaz lambi hote hue, 'e' vowel 'ie' mein badal jata hai."
'E' se 'ie' mein badalne wale verb ki ek misal dijiye.,"Aisi ek verb 'geben' hai, jo translated form mein 'du gibst, er/sie/es gibt' ban jati hai."
'Geben' aur 'helfen' ko 'e' se 'ie' mein badalne par kya English version hoga?,"'Geben' ka tarjuma 'du gibst, er/sie/es gibt' hota hai, jiska matlab 'dene ko' hota hai, aur 'helfen' ka 'du hilfst, er/sie/es hilft', jiska matlab 'madad karna' hota hai."
'E' se 'ie' mein badalne ke baad 'werfen' aur 'sehen' verbs ka English mein kya matlab hota hai?,"'E' se 'ie' mein badalne ke baad, 'werfen' ka tarjuma 'du wirfst, er/sie/es wirft' hota hai, jiska matlab 'phenkna' hota hai, aur 'sehen' ka 'du siehst, er/sie/es sieht', jiska matlab 'dekhna' hota hai."
Irregular Verbs kya hain?,Irregular verbs wo verbs hain jinki spelling mojooda zamaane mein badalti hai.
Ye Irregular verbs kahan mil sakte hain?,Irregular verbs kisi bhi course book ya dictionary mein mil sakte hain.
Kya har irregular verb ka spelling mojooda zamaane mein badalta hai?,"Nahi, har irregular verb ka spelling mojooda zamaane mein nahi badalta."
Aksar kaun sa form irregular verbs ko zahir karta hai?,"Aksar, mojooda zamaane ka form irregular verbs ko zahir karta hai."
Maziya Zarb ke do groups kaun se hain jo regular pattern ko follow nahi karte?,Maziya Zarb ke wo do groups jo regular pattern ko follow nahi karte hain 'sein' aur 'haben' hain jo 'to be' aur 'to have' ko mean karte hain aur 'modal verbs'
'Sein' aur 'haben' ko English mein kya translate karte hain?,'Sein' aur 'haben' ko English mein 'to be' aur 'to have' ke tor par translate kiya jata hai
'To be' aur 'to have' ke baare mein mazeed tafseelat kahan mil sakti hain?,'To be' aur 'to have' ke baare mein mazeed tafseelat Unit 4 mein mil sakti hain
